name,description,website,location,incubator_name
Clypp,Businesses use Clypp to create and share short video tutorials of workflows & software with their co-workers and customers.,https://getclypp.com/en/,"Munich, Germany",XPreneurs
CogniBIT,CogniBIT simulates human cognition and behavior in traffic to make autonomous cars safe in the interaction with human road users.,https://cognibit.de/,"Munich, Germany",XPreneurs
Cold Ray,Cold Ray develops air conditioning systems that do not require electricity input. Our passive cooling systems can be a much needed game changer in a field that is responsible for more CO2 emissions than aviation and shipping combined.,,"Munich, Germany",XPreneurs
Colorimetrix,The lab in your pocket for fertility self diagnosis.,https://www.colorimetrix.com/,"Munich, Germany",XPreneurs
Condens,"Condens is a software tool for user research. Store, analyze and share user research data on one central platform.",https://condens.io/,"Munich, Germany",XPreneurs
Config Connect,CONFIG CONNECT is a platform for DevOps to manage all configuration files.,,"Munich, Germany",XPreneurs
Connect Platform,A tool for developers to build the backend of their services and applications visually.,https://connect-platform.com/,"Munich, Germany",XPreneurs
ContainerGrid,"Automated workflows, embedded services and data-based decisions for recycling and waste management.",https://containergrid.de/,"Munich, Germany",XPreneurs
Convaise,CONVAISE transfers complicated documents into an easy chatbot conversation. This simplifies the communication for example with authorities.,https://convaise.com/,"Munich, Germany",XPreneurs
Crashtest Security (Exit),"Crashtest Security provides a proactive cloud based security scanning service for web application developers that embeds into the continuous integration cycle of agile software development, allowing early error detection and improved security, while saving money compared to traditional security tests.",https://crashtest-security.com/,"Munich, Germany",XPreneurs
crino,"crino provides solutions for non-destructive battery analysis. Combining our innovative hardware with artificial intelligence and in-depth battery knowledge we assess the quality, performance and behavior of battery cells.",https://www.crino.de/,"Munich, Germany",XPreneurs
Cube4T8,We drive the future by inventing and realizing innovative ideas for mobility and beyond.,https://www.cube4t8.lu/,"Munich, Germany",XPreneurs
Cult Fitness,"CULT is the boutique fitness studio for your living room that offers live group workouts, accessible anywhere.",,"Munich, Germany",XPreneurs
Custom Surgical,At Custom Surgical we use smartphone cameras and AI to screen pathologies of the eye in developing countries.,https://customsurgical.co/,"Munich, Germany",XPreneurs
CyberDesk,CyberDesk detects and remediates data security risks across your multi-cloud architecture.,https://www.cyberdesk.app/,"Munich, Germany",XPreneurs
Cyclize,Cyclize enables a carbon circular economy by replacing fossil feedstock using mixed plastic waste and CO2.,https://cyclize.de/,"Munich, Germany",XPreneurs
Cytolytics,"Cytolytics software enables automated medical data analysis based on cutting-edge AI technologies, providing immensely faster and cheaper analysis.",https://www.cytolytics.de/,"Munich, Germany",XPreneurs
Dahlia Robotics,We envision sustainable food production made possible by autonomous farming robots.,https://dahliarobotics.com/,"Munich, Germany",XPreneurs
Data Q Company,"Effective data management by involving people who don't have ""data"" in their job titles.",https://www.dqc.ai/,"Munich, Germany",XPreneurs
deepc,deepc is a healthcare ai diagnostics company using state-of-the art unsupervised artificial intelligence technologies to unlock big amounts of data and solve significant challenges in healthcare.,http://deepc.ai/,"Munich, Germany",XPreneurs
DeepDrive,We are rethinking mobility by developing a plug & play vehicle platform on which new players can build any new vehicle concept without expensive and time consuming development of the driving functions.,https://deepdrive.tech/,"Munich, Germany",XPreneurs
deeply,Deeply enables your product to analyze demographics and emotions. We offer easy integration of real-time mulitface analysis and thus facilitate new ways of human-machine interaction.,,"Munich, Germany",XPreneurs
DeltaOrbit,DeltaOrbit builds the next generation of in-space rocket engines. ,https://www.deltaorbit.com/,"Munich, Germany",XPreneurs
deltaVision,Next generation fluid control solutions for aerospace and hydrogen mobility.,https://deltavision.space/,"Munich, Germany",XPreneurs
Demodesk,Demodesk is the sales meeting platform that coaches reps live and automates non-selling tasks.,https://www.demodesk.com/,"Munich, Germany",XPreneurs
DirectFEM (Exit),Minimizing the engineering effort of structural simulations. DirectFEM‘s product ReveaL reduces the manual labour needed for setting up simulations by up to 80%.,,"Munich, Germany",XPreneurs
dskrpt,dskrpt's mission is to guide students' readings at scale.,https://dskrpt.de/,"Munich, Germany",XPreneurs
Dymium,Dymium is a minimal-invasive technology for the extraction of kidney stones.,https://www.dymium.de/,"Munich, Germany",XPreneurs
Dynamic Components (Exit),Industrial asset monitoring - acquisition of high-resolution and high-quality machine data that are relevant for safe and efficient operations by retrofitting of sensors to machines and industrial equipment.,,"Munich, Germany",XPreneurs
e-label,The fastest and easiest way to the EU E-Label for wines. Create your E-Label in a few minutes and without prior knowledge.,https://de.e-label.io/,"Munich, Germany",XPreneurs
Earth Is Sexy,"Earth Is Sexy is a platform for private users and businesses offering facts, challenges and a community on climate and environmental protection.",,"Munich, Germany",XPreneurs
ease,"By leveraging autonomous cooking ease provides healthy, convenient and still affordable meals, tailored to the individual needs of every single customer.",https://ease-eateasy.com/,"Munich, Germany",XPreneurs
eco.mio,We enable you to reach your climate targets while realizing significant savings: Incentivize your employees to travel consciously with our end-to-end integrated software solution.,https://ecomio.com/,"Munich, Germany",XPreneurs
Ecomply,ECOMPLY is your smart database and document generator for GDPR compliance services. Scalable and efficient.,https://www.ecomply.io/,"Munich, Germany",XPreneurs
einwert,einwert is the digital real estate valuation company – for highest quality reports in no time.,https://www.einwert.com/,"Munich, Germany",XPreneurs
Emidat,Climate intelligence for construction – Emidat helps to build material manufacturers generate and distribute environmental product data.,https://emidat.com/,"Munich, Germany",XPreneurs
EngFlow,"We build tools and services for software engineers, starting with remote execution for faster builds, and connect experts in the Bazel ecosystem.",https://www.engflow.com/,"Munich, Germany",XPreneurs
EpiQMAx,EpiQMAx combines epigenetic analyses with AI to offer digital testing solutions for molecular lifestyle assessment.,https://www.epiqmax.com/,"Munich, Germany",XPreneurs
Erium,"Our Vision is a world where Data Scientists, Analysts, and Data Science Teams have an optimal workflow to build sustainable data driven solutions by fostering knowledge and bridging the gap between knowledge and implementation.",https://erium.de/,"Munich, Germany",XPreneurs
Evum Motors,"The EVUM aCar is a low-maintenance, durable and robust commercial vehicle which, as an all-electric van, not only contributes to the positive CO2 balance of your fleet, but also offers the most economical solution in terms of total costs. The environmental bonus, for example, lowers your acquisition costs. But you save much more.",https://evum-motors.com/en/,"Munich, Germany",XPreneurs
EXCELLION,"EXCELLION is powering true zero emission planes by safe, ultralight aerospace batteries for fully- and hydrogen-electric aircraft.",https://excellion-aero.com/,"Munich, Germany",XPreneurs
ExoMatter,"The ExoMatter Materials R&D Platform generates a personalized shortlist of the most suitable materials for your applications. Drawing on materials data from numerous scientific sources - and/or your own data - and utilizing Al, ExoMatter enriches the data and allows you to apply a wide range of multidimensional physical, chemical and engineering criteria as well as sustainability attributes and anticipated cost.",https://exomatter.ai/,"Munich, Germany",XPreneurs
Exponential Technologies,"Exponential Technologies Ltd. develops the next generation of research enabling software for industrial applications in additive manufacturing, subtractive manufacturing and the chemical industry.",https://www.x-t.ai/,"Munich, Germany",XPreneurs
factorymaker,factorymaker is the AI-powered revolution for outcome-driven design of industrial buildings and production facilities.,https://factorymaker.at/,"Munich, Germany",XPreneurs
Fernride,Fernride offers Logistics customers the end to end integration of driverless vehicles into their processes.,https://www.fernride.com/,"Munich, Germany",XPreneurs
finway,"finway automizes the entire internal financial processes of SMEs. Our all-in-one software solution creates streamlined financial processes, helps employees and finance departments to move smarter and faster and provides management with real-time reporting and full transparency of all expenditures.",https://finway.de/,"Munich, Germany",XPreneurs
Flatwise,"Flatwise is the first holistic agency for shared flats. Their mission is to promote a more efficient distribution of living space to help solve the housing shortage in cities. On the one side they ease the roommate finding process with their intelligent matching algorithm, on the other side they help landlords to rent out their properties to shared flats in order to reliably earn additional rental income.",https://www.flatwise.de/,"Munich, Germany",XPreneurs
FLYLA,FLYLA is a platform for cheap last minute flight tickets exclusively for students to improve the capacity utilization of international airlines.,http://www.flyla.io/,"Munich, Germany",XPreneurs
FoldAI,Artificial Sensing and Intelligence for Natural Ecosystem Management.,https://fold.ai/,"Munich, Germany",XPreneurs
free machines,We help B2C companies to steer & optimize their customer journeys with AI.,,"Munich, Germany",XPreneurs
FreiFahrt,FreiFahrt is connecting the mobility sector and advertisers in order to make mobility affordable for everyone - financed by smart ads.,,"Munich, Germany",XPreneurs
Fusionbase,"Fusionbase is a data management & analytics platform made for agile data access in the age of AI. Our novel virtualization technology provides a fast, zero-copy and storage agnostic way to access, catalog and query data. Get data in hours instead of weeks!",https://fusionbase.com/,"Munich, Germany",XPreneurs
Futurail,Futurail enables trains to drive autonomously.,https://futurail.com/,"Munich, Germany",XPreneurs
GaussML,GaussML provides an efficient and easy-to-use parameter optimization solution for the manufacturing industry.,https://gauss-ml.com/,"Munich, Germany",XPreneurs
Go Additive,"Go Additive is an AI-powered platform to generate 3D Designs unimaginable by engineers, which means products with 90% less material and 10x higher performance.",https://goadditive.com/,"Munich, Germany",XPreneurs
GovRadar,Digital innovation procurement for the public sector.,https://govradar.net/,"Munich, Germany",XPreneurs
Happy Ocean Foods,"Happy Ocean Foods develops tasty, healthy and sustainable plant-based seafood. The first product is a plant-based shrimp, which looks, feels and tastes like a real shrimp and is rich in protein and omega-3 fatty acids.",https://happyoceanfoods.org/,"Munich, Germany",XPreneurs
happybrush Zoo (Exit),happybrush Zoo is an innovative system (sensor + App) that enables children to turn teeth brushing into fun and helps parents to take the stress out of toothbrushing.,,"Munich, Germany",XPreneurs
Hapticlabs,"Hapticlabs provides everything you need to design, prototype and implement haptic feedback.",https://www.hapticlabs.io/,"Munich, Germany",XPreneurs
HawaDawa (Exit),"We utilize our own air quality sensor networks, big data analytics and machine learning approaches to provide real-time, high resolution air quality data allowing all stakeholders to make informed decisions.",https://hawadawa.com/,"Munich, Germany",XPreneurs
hema.to,Reliable AI-powered diagnosis of cell pathologies.,,"Munich, Germany",XPreneurs
HIGGS,Next Generation Livestreaming! The software enables cheap and easy-to-use livestreaming from different perspectives. It uses smartphones as cameras and an app for combining the different views to one professional livestream on Facebook or Youtube.,,"Munich, Germany",XPreneurs
Holloid,"Holloid's 24/7, real-time, image-based inline monitoring helps operators of bioreactors to reduce costs, improve quality, and raise safety.",https://www.holloid.com/,"Munich, Germany",XPreneurs
Howie,"Howie is the AI co-pilot for architects, offering process monitoring on construction sites through crane cameras and AI.",https://howie.systems/,"Munich, Germany",XPreneurs
HyLevio,HyLevio develops and operates a new generation of VTOL aircraft based on hydrogen-electric propulsion for intercity connectivity.,,"Munich, Germany",XPreneurs
HYVIATE,HYVIATE is developing high density hydrogen storage systems to decarbonize hard-to-abate sectors including aviation.,https://hyviate.com/,"Munich, Germany",XPreneurs
ImuVeo,ImuVeo develops a solution to visualize human T-Cells to better assess the outcome of Cancer Immunotherapies.,https://imuveo.com/,"Munich, Germany",XPreneurs
Inga,"At Inga we bring indoor agriculture into cities by growing plants only with water, nutrients and light. With our locally grown plants we solve the problem of an increasing demand for regional and organic food.",,"Munich, Germany",XPreneurs
Inlyse,We develop a cloud-based IT security platform for corporations that provides a strong protection from cyber criminality through artificial intelligence.,https://www.inlyse.com/,"Munich, Germany",XPreneurs
Inveox,inveox digitizes and automates the sample preparation process in pathology labs to prevent cancer misdiagnosis and improve lab efficiency.,https://inveox.com/,"Munich, Germany",XPreneurs
IP Pilot,IP Pilot provides exclusive data on patent and trademark representations to help growing IP businesses with certainty.,https://www.ip-pilot.com/,"Munich, Germany",XPreneurs
IRUBIS,"We are combining semiconductor technology and infrared spectroscopy to build a device that analyses protein based drugs faster and better than conventional devices. Our customers will be research institutes, universities, and pharma companies.",https://irubis.com/,"Munich, Germany",XPreneurs
IsarAerospace,"Engineering the future of space flight. Launching is the first step to space. By enabling access to space, we contribute to humanity’s progress and our planet’s sustainable technological and economic development.",https://www.isaraerospace.com/,"Munich, Germany",XPreneurs
Isarsoft,"Isarsoft turns any camera into a sophisticated smart sensor. Counting passengers, monitoring conversion rates or measuring traffic in cities: with only a few clicks your camera starts collecting relevant business insights - in realtime.",https://www.isarsoft.com/,"Munich, Germany",XPreneurs
Jalu TV,jalu. tv will revolutionize sports shows. The user is no longer reliant on one commentator. He gets infinite possibilities from a huge pool. In addition he sees individual shows that fit his interests. From American Football to Zumba - the world's largest sports community will arise.,,"Munich, Germany",XPreneurs
Karlsson,Karlsson helps you find the best additional health insurance based on your demographic and psychometric data.,,"Munich, Germany",XPreneurs
KEWAZO,"KEWAZO develops automation systems for the scaffolding assembly, which is both a dangerous and labor-intensive activity.",https://www.kewazo.com/,"Munich, Germany",XPreneurs
KeySurance,"By making the driving experience of company cars, carsharing and car rental accountable for the private car insurance contract we can offer our users a better Schadenfreiheitsklasse-discount.",,"Munich, Germany",XPreneurs
kiteKRAFT,"We make more affordable wind power plants, based on a tethered electric aircraft – that’s a kite.",http://kitekraft.de/,"Munich, Germany",XPreneurs
Konfuzio,Konfuzio digitalizes the processing of payment advices.,https://konfuzio.com/,"Munich, Germany",XPreneurs
Koralo,"Koralo is making a natural, delicious and nutritious, vegan fish alternative.",https://koralo-foods.com/,"Munich, Germany",XPreneurs
Kraftblock,"Kraftblock provides an eco-friendly, cost-efficient and highly scalable, modular thermal energy storage system. A cornerstone for the transition to renewable energy.",https://kraftblock.com/,"Munich, Germany",XPreneurs
Kumovis (Exit),Kumovis develops 3D-printing systems based on the FDM principle for high-performance polymers with Focus on medical applications.,https://kumovis.com/,"Munich, Germany",XPreneurs
Kyte,Kytes is a fleet-logistics platform that allows customers to order rental cars delivered right to their doors.,https://drivekyte.com/,"Munich, Germany",XPreneurs
LARALAB,"Software solutions from LARALAB analyze medical image data (CT or ultrasound) and automatically segment the various anatomical structures of the heart in order to determine the optimal puncture site, the best suitable catheter and implant for each patient.",https://www.laralab.com/,"Munich, Germany",XPreneurs
Lattice,Lattice is a cloud-based supply chain collaboration application for construction project.,https://www.lattice.site/,"Munich, Germany",XPreneurs
LENICURA,"LENICURA is developing a treatment method (LAight® therapy) for the treatment of hidradenitis suppurativa, which is embedded in a digital care concept.",https://www.lenicura.de/,"Munich, Germany",XPreneurs
Levaru,Every elevator goes along guide rails that need to be very precisely adjusted. We develop a robot for this manual work and create huge time and financial benefits.,,"Munich, Germany",XPreneurs
loyee.io,"loyee.io is a culture-as-a-service software that cultivates a strong company culture, especially when working remotely. Our small and continuous behavioral actions translate into a large impact on the company level.",https://loyee.io/,"Munich, Germany",XPreneurs
Luccid,"Luccid is your AI-powered Baurecht expert, ensuring every design meets building codes with a click.",https://luccid.ai/,"Munich, Germany",XPreneurs
Luminovo AI,Luminovo AI builds tailored deep learning solutions and tooling for B2B customers.,http://luminovo.ai/,"Munich, Germany",XPreneurs
lunary,"The lunary platform is your command center for efficient ML data preparation and project management – self-determined, data autonomous and secure.",https://www.lunary.ai/,"Munich, Germany",XPreneurs
Manyfolds,"Eco-friendly, tailor-made shipping packaging for retailers and e-tailers: One app + a compact rental machine (99 € / month) that fits even into small shops. Simply produce safe packaging yourself or have it sent to you. Billing according to material consumption (from 1.80 € / m2).",https://manyfolds.de/,"Munich, Germany",XPreneurs
Maple Aviation,"Maple Aviation provides a high capacity AI drone, to give drone operator and B2B companies, access to air goods transport, conform with EU regulations.",https://maple-aviation.com/,"Munich, Germany",XPreneurs
MapMortar,MapMortar is real estate decarbonisation at scale made affordable.,https://mapmortar.io/,"Munich, Germany",XPreneurs
MergerSpot (Exit),"MergerSpot is the new generation of market research software. We are the one-stop platform, where all data found online about privately held companies can be analyzed. Our vision is to become the Bloomberg for private markets.",,"Munich, Germany",XPreneurs
metris.io,Building business research tools for the 21st century,,"Munich, Germany",XPreneurs
Micro Factory,"Micro Factory is pioneering in Resin-based 3D printing by launching a desktop machine that automates printing, washing, and curing.",https://micro-factory.de/,"Munich, Germany",XPreneurs
Mily Technologies,Mily Technologies helps parcel delivery companies master the last-mile.,https://milytech.com/,"Munich, Germany",XPreneurs
Mindzeit,MINDZEIT is your personal relaxation room you have with you wherever you go.,https://mindzeit.app/,"Munich, Germany",XPreneurs
Mioto,Mioto enables law firms to build scalable digital business models by turning legal services into digital products.,https://mioto.app/,"Munich, Germany",XPreneurs
mk2 Biotechnologies,mk2 Biotechnologies develops peptides for mass applications.,https://www.mk2.bio/,"Munich, Germany",XPreneurs
mo:re,Making drug development 10x faster & cheaper through AI-assisted cultivation of disease models.,https://more-ls.com/,"Munich, Germany",XPreneurs
Molteo,Molteo is the digital tool that enables contractors to focus on their main task: craftsmanship.,https://molteo.de/,"Munich, Germany",XPreneurs
munevo,"munevo DRIVE empowers people that are diagnosed with ALS, MS or had spinal cord injuries and can’t user their arms to control a power wheelchair. The first of its kind smart glass control system enables to drive hands-free and connects to other devices to help people become more independent.",https://munevo.com/,"Munich, Germany",XPreneurs
Munich Quantum Instruments,"Munich Quantum Instruments develops cutting-edge photonic quantum sensors, which can be applied in disruptive applications such as quantum computing.",https://munich-quantum-instruments.com/,"Munich, Germany",XPreneurs
mymary,"Simply find the best babysitters with mymary. Within minutes, mymary will connect you with the best babysitters for today, tomorrow or next week - whenever and wherever you need childcare.",https://www.mymary.com/,"Munich, Germany",XPreneurs
Nature Robots,Nature Robots aims to support regenerative and ecological agriculture through AI and robotics in harmony with nature and humans.,https://naturerobots.com/,"Munich, Germany",XPreneurs
NavIndo,"NavIndo enables precise localization and navigation in complex indoor environments without additional infrastructure. With our highly scalable crowdsourcing technology, we dynamically create indoor maps from smartphone sensor data.",,"Munich, Germany",XPreneurs
nebumind,nebumind develops a software that makes production data visible for every manufactured product. It supports productions to better understand and improve the quality of their products and the stability of their processes.,https://www.nebumind.com/,"Munich, Germany",XPreneurs
Neighbour,Providing technology to the local shared-living communities.,,"Munich, Germany",XPreneurs
Neohelden (Exit),Neo is a self-learning AI-assistant for businesses that can be used via voice and chat.,https://neohelden.com/,"Munich, Germany",XPreneurs
neolexon,"neolexon enables a personalized, effective and efficient Speech and Language Therapy through digital platforms.",https://neolexon.de/,"Munich, Germany",XPreneurs
Neuraspace,"Space Collision Avoidance with AI/ML: Neuraspace allows satellite operators to reduce operational manpower efforts, in particular for constellations.",https://www.neuraspace.com/,"Munich, Germany",XPreneurs
Neutron Star Systems,The mission of Neutron Star Systems is to enable the next generation of spaceflight and inspire humanity for generations to come. This is done by implementing electric propulsion systems with superconductors that use unconventional cheaper propellants.,https://www.neutronstar.systems/,"Munich, Germany",XPreneurs
No‐Touch Robotics,No‐Touch Robotics develops damage and contamination free contactless robotic grippers for handling fragile objects and fluids.,https://notouchrobotics.com/,"Munich, Germany",XPreneurs
NoMaze,NoMaze builds intuitive data understanding tools to help agricultural experts get new insights.,https://nomaze.com/,"Munich, Germany",XPreneurs
NTRDE,"NTRDE helps chemical manufacturers, distributors, and traders to enhance buying and selling chemicals with AI-augmented decision intelligence.",https://ntrde.io/,"Munich, Germany",XPreneurs
Oceanflight,"With the ready-to-use flight controller for hydrofoilboats, Oceanflight enables customers to make fast development progress from scratch to product.",https://oceanflight.tech/,"Munich, Germany",XPreneurs
Ocell,"OCELL offers data-driven carbon credits to support local landowners. Their mission is to unlock the full potential of forests and make a significant contribution to climate mitigation. To achieve high quality, OCELL uses aerial photographs, data from various sources, and artificial intelligence to create ‘digital twins’ of forests. ",https://www.ocell.io/,"Munich, Germany",XPreneurs
Ocos,"Ocos has developed the first ever Hybrid Intelligence platform, uniting Human- and Artificial Intelligence.",https://ocos-solutions.com/,"Munich, Germany",XPreneurs
Oculai,Oculai offers process monitoring on construction sites through crane cameras and AI.,https://oculai.de/,"Munich, Germany",XPreneurs
ocumeda,"ocumeda is an AI-enabled, telemedicine start-up that offers easy, quick and affordable access to eye screenings at highest medical standards.",https://www.ocumeda.com/,"Munich, Germany",XPreneurs
OPTIMUSE,"OPTIMUSE enables the design of sustainable buildings, by automatically planning technical systems, to increase comfort, safety and energy efficiency.",https://optimuse.com/,"Munich, Germany",XPreneurs
Orbem,"A.I powered precision agriculture. ORBEM transforms food systems towards a sustainable future. Their A.I. powered digital technology automatically analyzes and classifies biological samples without destroying them, revolutionizing the way they produce food to meet the needs of a rising population.",https://orbem.ai/,"Munich, Germany",XPreneurs
